"['g1', 'tau1']","['g2', 'tau2']",OBJ,G0,G1,G2
1.3209734460216321e-01,6.2652999898197741e+01,7.9399220415304686e-02,1.2492317131717148e+03,6.1282642537823281e-03,-1.0000000000000000e+00,-3.9488389726642203e-02,-5.1998150760040340e-01
1.3294518020272733e-01,6.1808864556101192e+01,7.8678356905333396e-02,1.2638359541225329e+03,6.5200585613641665e-03,-1.0000000000000000e+00,-4.0972305277121202e-02,-5.3043979519001494e-01
1.3262133580901531e-01,6.2131295576797051e+01,7.8953702274388998e-02,1.2582576302668283e+03,6.3695697272771572e-03,-1.0000000000000000e+00,-4.0405499953724777e-02,-5.2644508465713502e-01
1.3242118897078917e-01,6.2330568902478525e+01,7.9123875067578328e-02,1.2548100365953028e+03,6.2771012484123317e-03,-1.0000000000000000e+00,-4.0055195006131930e-02,-5.2397621782383896e-01
1.3229749142477323e-01,6.2453726588064256e+01,7.9229047635392832e-02,1.2526793065742472e+03,6.2201283164155926e-03,-1.0000000000000000e+00,-3.9838694646903081e-02,-5.2245037424106999e-01
1.3222104213859712e-01,6.2529842222152240e+01,7.9294047855637234e-02,1.2513624430277164e+03,6.1849991037262290e-03,-1.0000000000000000e+00,-3.9704890069100177e-02,-5.2150735106497514e-01
1.3275783132517405e-01,6.2652999898197741e+01,7.9399220415304686e-02,1.2492317131717148e+03,6.1858734935721933e-03,-1.0000000000000000e+00,-4.0082827777351962e-02,-5.1998150760040340e-01
1.3209734460216321e-01,6.2966264897688731e+01,7.9399220415304686e-02,1.2492317131717148e+03,6.0539670422983510e-03,-1.0000000000000000e+00,-3.9488389726642203e-02,-5.1911132704626173e-01
1.3209734460216321e-01,6.2652999898197741e+01,7.9796216517381210e-02,1.2492317131717148e+03,6.0693580579426034e-03,-1.0000000000000000e+00,-3.9091393624565679e-02,-5.1998150760040340e-01
1.3209734460216321e-01,6.2652999898197741e+01,7.9399220415304686e-02,1.2554778717375734e+03,6.1418886124219923e-03,-1.0000000000000000e+00,-3.9488389726642203e-02,-5.2345159569254707e-01
1.3100351486986803e-01,6.3832391477523245e+01,8.0403521926819904e-02,1.2247595959742771e+03,5.5880211355091450e-03,-1.0000000000000000e+00,-3.7499641456061328e-02,-5.0310979921481158e-01
1.3167953880768843e-01,6.3103487411243322e+01,7.9782829471195305e-02,1.2398841958513533e+03,5.9206119334647769e-03,-1.0000000000000000e+00,-3.8728755455724281e-02,-5.1353708821952038e-01
1.3142132063174414e-01,6.3381903999626267e+01,8.0019912900859802e-02,1.2341071125653127e+03,5.7930597975031205e-03,-1.0000000000000000e+00,-3.8259275667709924e-02,-5.0955421809287849e-01
1.3126173302580979e-01,6.3553974910707424e+01,8.0166438515520730e-02,1.2305366788128044e+03,5.7145557743965248e-03,-1.0000000000000000e+00,-3.7969121207708081e-02,-5.0709266903292627e-01
1.3116310246335078e-01,6.3660320579867658e+01,8.0256996323591401e-02,1.2283300294482078e+03,5.6661500717112446e-03,-1.0000000000000000e+00,-3.7789795893424308e-02,-5.0557134808270532e-01
1.3110214542468676e-01,6.3726045816600923e+01,8.0312964125764164e-02,1.2269662451679387e+03,5.6362840836636187e-03,-1.0000000000000000e+00,-3.7678966756453922e-02,-5.0463112004718558e-01
1.3165853244421735e-01,6.3832391477523245e+01,8.0403521926819904e-02,1.2247595959742771e+03,5.6447415661846495e-03,-1.0000000000000000e+00,-3.8089157272975710e-02,-5.0310979921481158e-01
1.3100351486986803e-01,6.4151553434910866e+01,8.0403521926819904e-02,1.2247595959742771e+03,5.5138137945820020e-03,-1.0000000000000000e+00,-3.7499641456061328e-02,-5.0222323822206816e-01
1.3100351486986803e-01,6.3832391477523245e+01,8.0805539536454002e-02,1.2247595959742771e+03,5.5289141142718613e-03,-1.0000000000000000e+00,-3.7097623846427230e-02,-5.0310979921481158e-01
1.3100351486986803e-01,6.3832391477523245e+01,8.0403521926819904e-02,1.2308833939541485e+03,5.6011455876785144e-03,-1.0000000000000000e+00,-3.7499641456061328e-02,-5.0651190920362898e-01
1.2983610045504354e-01,6.4957087191346574e+01,8.1345542237009030e-02,1.1982195193683867e+03,5.0747335099244652e-03,-1.0000000000000000e+00,-3.5506948172530153e-02,-4.8524115745091884e-01
1.3055760222673332e-01,6.4261987028258872e+01,8.0763341679830361e-02,1.2146221884195579e+03,5.3904486166428036e-03,-1.0000000000000000e+00,-3.6738500324229637e-02,-4.9628458515459090e-01
1.3028201306338658e-01,6.4527491674129493e+01,8.0985722512072963e-02,1.2083569261321500e+03,5.2692520135231291e-03,-1.0000000000000000e+00,-3.6268089244974960e-02,-4.9206637097861250e-01
1.3011168959704217e-01,6.4691582566042882e+01,8.1123161421992843e-02,1.2044847811704649e+03,5.1947381428057715e-03,-1.0000000000000000e+00,-3.5977359215345117e-02,-4.8945937130013917e-01
1.3000642390809872e-01,6.4792996312236127e+01,8.1208103337812601e-02,1.2020916640279536e+03,5.1488176913768342e-03,-1.0000000000000000e+00,-3.5797678179476253e-02,-4.8784815692598499e-01
1.2994136613583274e-01,6.4855673453009175e+01,8.1260600327769175e-02,1.2006126363255185e+03,5.1204736970481999e-03,-1.0000000000000000e+00,-3.5686629194480290e-02,-4.8685237170026258e-01
1.3048528095731876e-01,6.4957087191346574e+01,8.1345542237009030e-02,1.1982195193683867e+03,5.1253774764591494e-03,-1.0000000000000000e+00,-3.6091210624577860e-02,-4.8524115745091884e-01
